"","origin","destination","distance","population_origin","gdp_origin","population_destination","gdp_destination","trade","x_jj","trade_sum_destination"
"1","ARG","AGO",7977.91582251167,36.8957138061523,284203.75,13.8406362533569,9129.1796875,13.1241002325875,6928.93519825389,2200.24448924611
"2","AUS","AGO",12954.9058181599,19.1529998779297,399663.71875,13.8406362533569,9129.1796875,1.50204002661941,6928.93519825389,2200.24448924611
"3","AUT","AGO",6432.05825322666,8.01156044006348,193838.5,13.8406362533569,9129.1796875,0.875820015521432,6928.93519825389,2200.24448924611
"4","AZE","AGO",6652.0196767704,8.04853439331055,5272.6171875,13.8406362533569,9129.1796875,0.0165000002924158,6928.93519825389,2200.24448924611
"5","BDI","AGO",1905.41970250435,6.48607110977173,709.062377929688,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"6","BEL","AGO",6817.66268552933,10.2519998550415,231933.484375,13.8406362533569,9129.1796875,103.466001833642,6928.93519825389,2200.24448924611
"7","BEN","AGO",2340.25055474691,7.19695520401001,2254.8388671875,13.8406362533569,9129.1796875,0.0121595102154929,6928.93519825389,2200.24448924611
"8","BFA","AGO",3026.39799773102,11.2916145324707,2600.70068359375,13.8406362533569,9129.1796875,0.00652876411570387,6928.93519825389,2200.24448924611
"9","BGD","AGO",9116.83311886482,128.915878295898,47096.83984375,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"10","BGR","AGO",5962.84325037651,8.0600004196167,12599.3916015625,13.8406362533569,9129.1796875,0.302500005360957,6928.93519825389,2200.24448924611
"11","BHR","AGO",5649.49622170715,0.672007977962494,7970.69091796875,13.8406362533569,9129.1796875,0.142577002526774,6928.93519825389,2200.24448924611
"12","BHS","AGO",10610.8251969495,0.301438003778458,5004.00048828125,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"13","BLR","AGO",7185.96371420479,10.0050001144409,12736.8564453125,13.8406362533569,9129.1796875,8.71420015443454,6928.93519825389,2200.24448924611
"14","BLZ","AGO",11631.9408877716,0.249799996614456,831.799987792969,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"15","BOL","AGO",8607.54032475986,8.31664752960205,8397.8583984375,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"16","BRA","AGO",6440.57244928627,173.857666015625,644475.125,13.8406362533569,9129.1796875,116.896002071651,6928.93519825389,2200.24448924611
"17","BRB","AGO",8503.36997736549,0.266088992357254,2544.4736328125,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"18","CAF","AGO",1745.57946418943,3.77740502357483,952.835754394531,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"19","CAN","AGO",11627.2925410187,30.7696990966797,714458.25,13.8406362533569,9129.1796875,5.16008009144782,6928.93519825389,2200.24448924611
"20","CHE","AGO",6356.83833151855,7.18422222137451,246049.734375,13.8406362533569,9129.1796875,5.20171309218565,6928.93519825389,2200.24448924611
"21","CHL","AGO",8947.97170655365,15.4118299484253,75213.3046875,13.8406362533569,9129.1796875,0.429000007602811,6928.93519825389,2200.24448924611
"22","CHN","AGO",11829.9670011566,1262.64501953125,1198480.25,13.8406362533569,9129.1796875,37.1096006576627,6928.93519825389,2200.24448924611
"23","CIV","AGO",2712.48965029983,16.7349510192871,10425.29296875,13.8406362533569,9129.1796875,26.2160804646059,6928.93519825389,2200.24448924611
"24","CMR","AGO",1787.59086382785,14.8563432693481,10075.041015625,13.8406362533569,9129.1796875,23.4422104154469,6928.93519825389,2200.24448924611
"25","COG","AGO",681.590617863274,3.43779706954956,3219.89379882812,13.8406362533569,9129.1796875,18.0301003195325,6928.93519825389,2200.24448924611
"26","COL","AGO",9982.68927122574,41.6825942993164,83778.6171875,13.8406362533569,9129.1796875,0.388520006885418,6928.93519825389,2200.24448924611
"27","COM","AGO",3281.95555476532,0.540327370166779,201.90055847168,13.8406362533569,9129.1796875,0,6928.93519825389,2200.24448924611
"28","CPV","AGO",5054.00988294683,0.450596988201141,531.385986328125,13.8406362533569,9129.1796875,0.0425185207535205,6928.93519825389,2200.24448924611
